Lon,Lat,Clave,Edo,Est,Tmed
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,13.8
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,15.2
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,15.1
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,15.3
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,13.1
-102.68,22,CDRAG,AGS,La Codorniz Ags.,16.6
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,13.3
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,13.1
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,13.2
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,14.1
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,13.9
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,8.7
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,15.6
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,13.6
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,13.6
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,10.6
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,11.4
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,12.3
-102.36,21.97,UAALAPOSTA,AGS,Univ. AutÛnoma de Aguascalientes La Posta Ags. SGT*,13.0
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,12.2
-102,22.02,NVLAG,AGS,El Novillo Ags.,10.4
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,11.4
-102.59,22.18,ALMAG,AGS,Alamitos Ags.,9.5
-102.61,22.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,9.4
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,14.3
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,14.5
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,9.5
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,15.2
-116.83,32.47,EFLBN,BC,El Florido B.C.,15.5
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,15.1
-116.3,32.52,HNGBN,BC,El Hongo B.C.,8.7
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,12.5
-115.27,32.39,MXCBN,BC,Mexicali B.C.,13.7
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,13.6
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,14.6
-113.56,28.9,BAABN,BC,BahÌa de los ¡ngeles B.C. SMN*,16.9
-115.94,30.53,SQNBN,BC,San QuintÌn B.C. SMN*,13.9
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,13.5
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,15.9
-116.64,31.7,PTBBN,BC,Punta Banda B.C.,11.9
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,14.1
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,5.3
-114.97,32.06,ENCINAS,BC,Encinas Johnson Son. REMAS*,13.4
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,14.1
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,15.8
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,13.6
-115.38,32.63,MEXICALIOB,BC,Mexicali Observatorio B.C. SMN*,13.5
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,9.1
-115.15,32.41,ENLBN,BC,Observatorio de Ejido Nuevo LeÛn B.C.,14.2
-117.25,32.42,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,15.3
-115.46,32.67,MEXBN,BC,Mexicali B.C. SMN*,15.2
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,18.5
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,21.1
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,21.2
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,16.6
-109.71,23.12,SJCBS,BCS,San JosÈ del Cabo B.C.S.,17.2
-110.21,23.48,TSNBS,BCS,Todos Santos B.C.S.,17.2
-109.71,23.49,SNTBS,BCS,Santiago B.C.S.,15.2
-109.59,23.59,RBRBS,BCS,La Ribera B.C.S.,16.3
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,19.5
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,14.7
-110.06,23.8,SANBS,BCS,San Antonio B.C.S.,17.2
-109.93,23.97,PLNBS,BCS,Los Planes B.C.S.,16.3
-110,24.08,SARBS,BCS,El Sargento B.C.S.,16.4
-113.46,27.64,DORBS,BCS,DÌaz Ordaz B.C.S.,12.8
-114.05,27.96,GNGBS,BCS,Guerrero Negro B.C.S.,14.6
-111.98,26.9,MLGBS,BCS,MulegÈ B.C.S.,15.4
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,13.8
-110.32,24.12,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,18.7
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,18.9
-112.48,26.26,SANJUANICO,BCS,San Juanico B.C.S. SMN*,18.3
-110.37,24.15,LPZBS,BCS,Observatorio de La Paz B.C.S.,18.8
-111.66,25.01,CCNBS,BCS,Observatorio de Ciudad ConstituciÛn B.C.S.,16.7
-111.65,25.01,CDCONSTITUCIONo,BCS,Ciudad ConstituciÛn Ob B.C.S. SGT*,17.6
-111.35,26.01,LRTBS,BCS,Observatorio de Loreto B.C.S.,18.0
-112.1,27.09,STAROSALIAMAR,BCS,Santa RosalÌa B.C.S. SEMAR*,16.5
-112.27,27.34,SRLBS,BCS,Observatorio de Santa RosalÌa B.C.S.,16.7
-113.46,27.64,DIAZORDAZBN,BCS,Gustavo DÌçaz Ordaz B.C.S. SMN*,15.8
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,23.7
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,24.0
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,23.4
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,25.4
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,24.4
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,23.6
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,23.4
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,24.3
-90.22,19.61,NYXCA,CAMP,Noh-YaxchÈ Camp.,23.6
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,22.3
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,23.0
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,24.3
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,23.8
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,24.4
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,24.1
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,24.6
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,27.5
-91.77,18.66,CDCCA,CAMP,Ciudad del Carmen Camp. SMN*,24.7
-99.2,19.3,DATDF,CDMX,DesviaciÛn Alta Cd. de MÈx.,15.2
-99.17,19.45,CBIDF,CDMX,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. SMN*,16.2
-99.07,19.47,SJADF,CDMX,San Juan de AragÛn Cd. de MÈx.,15.6
-99.14,19.52,CEADF,CDMX,Campamento Amealco Cd. de MÈx.,16.8
-99.17,19.13,ELGUARDA,CDMX,El Guarda Cd. de MÈx. OCAVM*,8.1
-99.2,19.27,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de MÈx. SMN*,14.4
-99.1,19.39,TEZDF,CDMX,Tezontle Cd. de MÈx. SMN*,16.3
-99.16,19.35,ENP6,CDMX,Escuela Nacional Preparatoria 6 Cd. de MÈx. UNAM*,16.0
-99.2,19.41,CTMDF,CDMX,Observatorio de Tacubaya Cd. de MÈx.,16.2
-99.17,19.45,CBIOLOGIPN,CDMX,Eescuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. OCAVM*,17.9
-99.09,19.48,GCNDF,CDMX,km 6+250 Cd. de MÈx.,13.1
-99.2,19.4,TACUBAYAob,CDMX,Observatorio de Tacubaya Cd. de MÈx. SMN*,16.3
-99.2,19.31,CENAPRED,CDMX,Centro de Ciencias de la AtmÛsfera CENAPRED Cd. de MÈx SMN*,14.0
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,10.6
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,19.0
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,15.6
-107.88,26.87,INGCH,CHIH,San Ignacio Chih.,15.4
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,17.3
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,17.2
-104.91,27.13,JMNCH,CHIH,JimÈnez Chih.,10.5
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,19.0
-107.91,27.22,URECH,CHIH,Urique Chih.,17.1
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,15.6
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,11.0
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,11.7
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,10.9
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,6.3
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,13.5
-107.48,28.48,AGZCH,CHIH,Abraham Gonz·lez Chih.,4.9
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,10.7
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. LeÛn Chih.,12.5
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,7.5
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,8.1
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,10.8
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,6.5
-105.38,27.41,CL2CH,CHIH,Colina hidromÈtrica Chih.,9.5
-106.22,27.45,BOCADELRIO,CHIH,Boca del RÌo Chih. SGT*,11.8
-107.26,28.77,BACCH,CHIH,BachÌniva Chih.,7.0
-106.77,26.23,CHNCH,CHIH,Chinat˙ Chih. SMN*,7.9
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,5.1
-106.35,26.95,CONCHOSob,CHIH,Observatorio de Conchos Chih. SMN*,10.8
-104.91,27.11,JIMENEZCHIH,CHIH,JimÈnez Chih. SMN*,10.8
-104.91,27.14,JIMENEZ2CHIH,CHIH,JimÈnez Chih. SGT*,11.5
-108.54,27.39,CHICH,CHIH,ChÌnipas Chih. SMN*,15.9
-107.63,27.75,CRLCH,CHIH,Creel Chih.,6.3
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,12.2
-105.77,27.99,VILLALBA,CHIH,Villalba Chih. SGT*,11.3
-105.5,28.17,DELICIAS,CHIH,Ciudad Delicias Chih. SMN*,12.2
-108.21,28.2,BASCH,CHIH,Basaseachi Chih. SMN*,5.5
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,9.6
-107.48,28.48,PABRGONZALEZ,CHIH,Presa Abraham Gonz·lez Chih. SGT*,6.1
